,N (episodes),Mean,Std Dev,Min,Max,95% CI Lower,95% CI Upper
DDQNTSCA,506,141687.5149,67653.7774,66480,548111,135792.6634,147582.3663
Andrew Vidali[14],506,225913.0733,80489.5293,103219,533660,218899.809,232926.3375
